ref,brand,kind,source,value_usd,confidence,ts
114060,Rolex,MARK,engine_median,9762.4,DERIVED,2026-08-13T12:05:36.604874+00:00
114060,Rolex,MARK,engine_median,10171.61,DERIVED,2026-08-18T21:46:17.264769+00:00
114060,Rolex,MARK,engine_median,10958.09,DERIVED,2026-08-20T19:55:02.750956+00:00
114060,Rolex,MARK,engine_median,10171.61,DERIVED,2026-08-21T21:45:15.687735+00:00
114200,Rolex,MARK,manual_check,5696.0,VERIFIED,2026-08-09
114200,Rolex,MARK,engine_median,6748.66,DERIVED,2026-08-13T12:05:36.604874+00:00
114200,Rolex,MARK,engine_median,5670.38,DERIVED,2026-08-19T21:47:49.086150+00:00
114200,Rolex,MARK,engine_median,5952.04,DERIVED,2026-08-20T04:37:33.725646+00:00
114270,Rolex,MARK,manual_check,6422.0,VERIFIED,2026-08-09
114270,Rolex,MARK,engine_median,6882.91,DERIVED,2026-08-13T12:05:36.604874+00:00
114270,Rolex,MARK,engine_median,6191.05,DERIVED,2026-08-17T21:49:35.588367+00:00
114270,Rolex,MARK,engine_median,6138.04,DERIVED,2026-08-21T21:45:15.687735+00:00
114300,,MARK,engine_median,7190.27,DERIVED,2026-08-13T12:05:36.604874+00:00
114300,,MARK,engine_median,7716.39,DERIVED,2026-08-16T10:01:25.617322+00:00
114300,,MARK,engine_median,7190.27,DERIVED,2026-08-16T21:41:16.998484+00:00
114854,,MARK,engine_median,877.31,DERIVED,2026-08-16T21:41:16.998484+00:00
116000,Rolex,MARK,engine_median,6138.04,DERIVED,2026-08-13T12:05:36.604874+00:00
116000,Rolex,MARK,engine_median,6430.33,DERIVED,2026-08-14T21:47:56.498486+00:00
116000,Rolex,MARK,engine_median,6138.04,DERIVED,2026-08-16T06:20:51.808998+00:00
116138,,MARK,engine_median,13737.5,DERIVED,2026-08-13T12:05:36.604874+00:00
116139,,MARK,engine_median,13186.14,DERIVED,2026-08-15T21:41:53.174601+00:00
116185BBRZB,Rolex,MARK,engine_median,45065.4,DERIVED,2026-08-13T12:05:36.604874+00:00
116200,Rolex,MARK,manual_check,6952.0,VERIFIED,2026-08-09
116200,Rolex,MARK,engine_median,6547.24,DERIVED,2026-08-13T12:05:36.604874+00:00
116200,Rolex,MARK,engine_median,6748.66,DERIVED,2026-08-13T22:07:35.994213+00:00
116200,Rolex,MARK,engine_median,6725.99,DERIVED,2026-08-16T21:41:16.998484+00:00
116231,Rolex,MARK,engine_median,10814.64,DERIVED,2026-08-13T12:05:36.604874+00:00
116233,Rolex,MARK,manual_check,10112.0,VERIFIED,2026-08-09
116233,Rolex,MARK,engine_median,11106.92,DERIVED,2026-08-13T12:05:36.604874+00:00
116233,Rolex,MARK,engine_median,12159.15,DERIVED,2026-08-18T21:46:17.264769+00:00
116233G,,MARK,engine_median,9825.79,DERIVED,2026-08-16T06:20:51.808998+00:00
116234,Rolex,MARK,manual_check,9159.0,VERIFIED,2026-08-09
116234,Rolex,MARK,engine_median,8359.42,DERIVED,2026-08-13T12:05:36.604874+00:00
116234,Rolex,MARK,engine_median,8200.69,DERIVED,2026-08-16T06:20:51.808998+00:00
116234,Rolex,MARK,engine_median,8320.29,DERIVED,2026-08-16T10:01:25.617322+00:00
116234,Rolex,MARK,engine_median,8200.69,DERIVED,2026-08-17T21:49:35.588367+00:00
116234GBKHC,Rolex,MARK,engine_median,9831.49,DERIVED,2026-08-13T12:05:36.604874+00:00
116243NGBK,,MARK,engine_median,16376.33,DERIVED,2026-08-15T21:41:53.174601+00:00
116244,Rolex,MARK,engine_median,12555.0,DERIVED,2026-08-13T12:05:36.604874+00:00
116261,Rolex,MARK,engine_median,8476.34,DERIVED,2026-08-13T12:05:36.604874+00:00
116263,Rolex,MARK,engine_median,10726.5,DERIVED,2026-08-14T21:47:56.498486+00:00
116264,Rolex,MARK,manual_check,7909.0,VERIFIED,2026-08-09
116264,,MARK,engine_median,6908.08,DERIVED,2026-08-13T12:05:36.604874+00:00
116264,,MARK,engine_median,7811.52,DERIVED,2026-08-15T21:41:53.174601+00:00
116300,Rolex,MARK,engine_median,7656.89,DERIVED,2026-08-13T12:05:36.604874+00:00
116333,Rolex,MARK,manual_check,11578.0,VERIFIED,2026-08-09
116333,Rolex,MARK,engine_median,10522.35,DERIVED,2026-08-13T12:05:36.604874+00:00
116333,Rolex,MARK,engine_median,10899.29,DERIVED,2026-08-15T21:41:53.174601+00:00
116334,Rolex,MARK,manual_check,9494.0,VERIFIED,2026-08-09
116334,TAG Heuer,MARK,engine_median,9618.39,DERIVED,2026-08-13T12:05:36.604874+00:00
116400,Rolex,MARK,manual_check,8750.0,VERIFIED,2026-08-09
116400,Rolex,MSRP,watchbase,9300.0,VERIFIED,2026-08-13T12:05:36+00:00
116400,Rolex,MARK,engine_median,8476.34,DERIVED,2026-08-13T12:05:36.604874+00:00
116400GV,Rolex,MARK,manual_check,10575.0,VERIFIED,2026-08-09
116400GV,Rolex,MARK,engine_median,9528.57,DERIVED,2026-08-13T12:05:36.604874+00:00
116400GV,Rolex,MARK,engine_median,10527.64,DERIVED,2026-08-16T21:41:16.998484+00:00
116500,Rolex,MARK,manual_check,27561.0,VERIFIED,2026-08-09
116500,Rolex,MARK,engine_median,22213.84,DERIVED,2026-08-19T21:47:49.086150+00:00
116500LN,Rolex,MARK,engine_median,24552.14,DERIVED,2026-08-13T12:05:36.604874+00:00
116500LN,Rolex,MARK,engine_median,24243.09,DERIVED,2026-08-15T21:41:53.174601+00:00
116500LNWH,Rolex,MARK,engine_median,29547.6,DERIVED,2026-08-13T12:05:36.604874+00:00
116500LNWH,Rolex,MARK,engine_median,28059.59,DERIVED,2026-08-19T21:47:49.086150+00:00
116503,Rolex,MARK,manual_check,20119.0,VERIFIED,2026-08-09
116503,Rolex,MARK,engine_median,18998.68,DERIVED,2026-08-13T12:05:36.604874+00:00
116503NG,Rolex,MARK,engine_median,22213.84,DERIVED,2026-08-13T12:05:36.604874+00:00
116503NGBS,Rolex,MARK,engine_median,24351.81,DERIVED,2026-08-15T21:41:53.174601+00:00
116505,Rolex,MARK,manual_check,44599.0,VERIFIED,2026-08-09
116505,Rolex,MARK,engine_median,43258.53,DERIVED,2026-08-13T12:05:36.604874+00:00
116505,Rolex,MARK,engine_median,43723.48,DERIVED,2026-08-15T21:41:53.174601+00:00
116505,Rolex,MARK,engine_median,43258.53,DERIVED,2026-08-16T06:20:51.808998+00:00
116505GBK,Rolex,MARK,engine_median,47137.98,DERIVED,2026-08-13T12:05:36.604874+00:00
116506,Rolex,MARK,engine_median,130360.17,DERIVED,2026-08-13T12:05:36.604874+00:00
116506A,,MARK,engine_median,92281.6,DERIVED,2026-08-17T21:49:35.588367+00:00
116508,Rolex,MARK,manual_check,61334.0,VERIFIED,2026-08-09
116508,Rolex,MARK,engine_median,69750.0,DERIVED,2026-08-13T12:05:36.604874+00:00
116508,Rolex,MARK,engine_median,64630.87,DERIVED,2026-08-13T22:07:35.994213+00:00
116508,Rolex,MARK,engine_median,65824.33,DERIVED,2026-08-16T21:41:16.998484+00:00
116509,Rolex,MARK,manual_check,41739.0,VERIFIED,2026-08-09
116509,Rolex,MARK,engine_median,36126.72,DERIVED,2026-08-13T12:05:36.604874+00:00
116509,Rolex,MARK,engine_median,38874.22,DERIVED,2026-08-14T21:47:56.498486+00:00
116509,Rolex,MARK,engine_median,37740.0,DERIVED,2026-08-16T06:20:51.808998+00:00
116509G,,MARK,engine_median,37120.49,DERIVED,2026-08-13T12:05:36.604874+00:00
116509NGBK,Rolex,MARK,engine_median,41441.04,DERIVED,2026-08-13T12:05:36.604874+00:00
116515,Rolex,MARK,manual_check,37177.0,VERIFIED,2026-08-09
116515,Rolex,MARK,engine_median,33015.58,DERIVED,2026-08-13T12:05:36.604874+00:00
116515LN,Rolex,MARK,engine_median,35074.49,DERIVED,2026-08-13T12:05:36.604874+00:00
116515LN,Rolex,MARK,engine_median,34799.7,DERIVED,2026-08-14T21:47:56.498486+00:00
116515LN,Rolex,MARK,engine_median,35074.49,DERIVED,2026-08-15T21:41:53.174601+00:00
116515LN,Rolex,MARK,engine_median,34799.7,DERIVED,2026-08-15T21:42:06.738979+00:00
116515LNA,Rolex,MARK,engine_median,38688.22,DERIVED,2026-08-13T12:05:36.604874+00:00
116515LNBK,Rolex,MARK,engine_median,38900.79,DERIVED,2026-08-13T12:05:36.604874+00:00
116515LNG,Rolex,MARK,engine_median,40452.57,DERIVED,2026-08-13T12:05:36.604874+00:00
116515LNPB,Rolex,MARK,engine_median,38156.79,DERIVED,2026-08-13T12:05:36.604874+00:00
116518,Rolex,MARK,manual_check,41049.0,VERIFIED,2026-08-09
116518LN,Rolex,MARK,engine_median,40335.66,DERIVED,2026-08-13T12:05:36.604874+00:00
116518LN,Rolex,MARK,engine_median,40218.74,DERIVED,2026-08-19T21:47:49.086150+00:00
116518LN,Rolex,MARK,engine_median,40335.66,DERIVED,2026-08-20T04:37:33.725646+00:00
116518LN,Rolex,MARK,engine_median,40218.74,DERIVED,2026-08-20T19:55:02.750956+00:00
116518LN,Rolex,MARK,engine_median,40335.66,DERIVED,2026-08-21T21:45:15.687735+00:00
116518LNCH,Rolex,MARK,engine_median,42248.81,DERIVED,2026-08-13T12:05:36.604874+00:00
116518LNG,Rolex,MARK,engine_median,39751.08,DERIVED,2026-08-13T12:05:36.604874+00:00
116518LNNG,,MARK,engine_median,40218.74,DERIVED,2026-08-13T12:05:36.604874+00:00
116519,Rolex,MARK,manual_check,38115.0,VERIFIED,2026-08-09
116519,,MARK,engine_median,63134.07,DERIVED,2026-08-13T12:05:36.604874+00:00
116519LN,Rolex,MARK,engine_median,40849.79,DERIVED,2026-08-13T12:05:36.604874+00:00
116520,Rolex,MARK,engine_median,20927.78,DERIVED,2026-08-13T12:05:36.604874+00:00
116520,Rolex,MARK,engine_median,21044.69,DERIVED,2026-08-13T22:07:35.994213+00:00
116520,Rolex,MARK,engine_median,20927.78,DERIVED,2026-08-15T21:41:53.174601+00:00
116523,Rolex,MARK,engine_median,16835.75,DERIVED,2026-08-13T12:05:36.604874+00:00
116523,Rolex,MARK,engine_median,16952.67,DERIVED,2026-08-13T22:07:35.994213+00:00
116523,Rolex,MARK,engine_median,16835.75,DERIVED,2026-08-15T21:41:53.174601+00:00
116523,Rolex,MARK,engine_median,16952.67,DERIVED,2026-08-16T10:01:25.617322+00:00
116523,Rolex,MARK,engine_median,16835.75,DERIVED,2026-08-16T21:41:16.998484+00:00
116523GWH,Rolex,MARK,engine_median,17430.95,DERIVED,2026-08-13T12:05:36.604874+00:00
116528,,MARK,engine_median,39166.51,DERIVED,2026-08-13T12:05:36.604874+00:00
116528G,,MARK,engine_median,38676.75,DERIVED,2026-08-21T21:45:15.687735+00:00
116528GBK,Rolex,MARK,engine_median,37093.93,DERIVED,2026-08-13T12:05:36.604874+00:00
116528GR,Rolex,MARK,engine_median,39219.65,DERIVED,2026-08-13T12:05:36.604874+00:00
116576TBR,Rolex,MARK,engine_median,175372.43,DERIVED,2026-08-13T12:05:36.604874+00:00
116588TBR,Rolex,MARK,engine_median,166338.09,DERIVED,2026-08-13T12:05:36.604874+00:00
116589BR,Rolex,MARK,engine_median,85560.49,DERIVED,2026-08-13T12:05:36.604874+00:00
116595RBOW,Rolex,MARK,engine_median,424082.43,DERIVED,2026-08-13T12:05:36.604874+00:00
116598SACO,Rolex,MARK,engine_median,110798.03,DERIVED,2026-08-13T12:05:36.604874+00:00
116599RBR,Rolex,MARK,engine_median,70148.97,DERIVED,2026-08-13T12:05:36.604874+00:00
116600,Rolex,MARK,manual_check,13109.0,VERIFIED,2026-08-09
116600,Rolex,MARK,engine_median,10814.64,DERIVED,2026-08-13T12:05:36.604874+00:00
116610,Rolex,MARK,manual_check,11129.0,VERIFIED,2026-08-09
116610,,MARK,engine_median,11159.53,DERIVED,2026-08-13T12:05:36.604874+00:00
116610LN,Rolex,MARK,engine_median,9996.23,DERIVED,2026-08-13T12:05:36.604874+00:00
116610LN,Rolex,MARK,engine_median,10054.69,DERIVED,2026-08-13T22:07:35.994213+00:00
116610LN,Rolex,MARK,engine_median,9996.23,DERIVED,2026-08-13T22:07:39.029292+00:00
116610LN,Rolex,MARK,engine_median,10054.69,DERIVED,2026-08-16T06:20:51.808998+00:00
116610LV,Rolex,MARK,manual_check,18663.0,VERIFIED,2026-08-09
116610LV,Rolex,MARK,engine_median,18004.9,DERIVED,2026-08-13T12:05:36.604874+00:00
116610LV,Rolex,MARK,engine_median,17829.53,DERIVED,2026-08-19T21:47:49.086150+00:00
116613LB,Rolex,MARK,engine_median,12860.64,DERIVED,2026-08-13T12:05:36.604874+00:00
116613LN,Rolex,MARK,engine_median,11574.58,DERIVED,2026-08-13T12:05:36.604874+00:00
116613LN,Rolex,MARK,engine_median,12605.56,DERIVED,2026-08-15T21:41:53.174601+00:00
116613LN,Rolex,MARK,engine_median,11983.78,DERIVED,2026-08-19T21:47:49.086150+00:00
116613LNBK,Rolex,MARK,engine_median,12648.07,DERIVED,2026-08-13T12:05:36.604874+00:00
116618LB,Rolex,MARK,manual_check,32948.0,VERIFIED,2026-08-09
116618LB,Rolex,MARK,engine_median,32443.9,DERIVED,2026-08-13T12:05:36.604874+00:00
116618LN,Rolex,MARK,manual_check,31584.0,VERIFIED,2026-08-09
116618LN,Rolex,MARK,engine_median,33905.34,DERIVED,2026-08-13T12:05:36.604874+00:00
116619,Rolex,MARK,manual_check,39122.0,VERIFIED,2026-08-09
116619GLB,Rolex,MARK,engine_median,49243.57,DERIVED,2026-08-13T12:05:36.604874+00:00
116619LB,Rolex,MARK,engine_median,38289.64,DERIVED,2026-08-13T12:05:36.604874+00:00
116621,Rolex,MARK,engine_median,12100.7,DERIVED,2026-08-13T12:05:36.604874+00:00
116621,Rolex,MARK,engine_median,13737.5,DERIVED,2026-08-13T22:07:35.994213+00:00
116621,Rolex,MARK,engine_median,12100.7,DERIVED,2026-08-14T21:47:56.498486+00:00
116622,Rolex,MARK,manual_check,12143.0,VERIFIED,2026-08-09
116622,Rolex,MARK,engine_median,11574.58,DERIVED,2026-08-13T12:05:36.604874+00:00
116622,Rolex,MARK,engine_median,11516.12,DERIVED,2026-08-15T21:41:53.174601+00:00
116660,Rolex,MARK,manual_check,11000.0,VERIFIED,2026-06
116660,Rolex,MSRP,watchbase,12950.0,VERIFIED,2026-08-13T12:05:36+00:00
116660,Rolex,MARK,engine_median,10522.35,DERIVED,2026-08-13T12:05:36.604874+00:00
116660,Rolex,MARK,engine_median,10527.64,DERIVED,2026-08-15T21:41:53.174601+00:00
116680,Rolex,MARK,manual_check,15999.0,VERIFIED,2026-08-09
116680,Rolex,MSRP,watchbase,20300.0,VERIFIED,2026-08-13T12:05:36+00:00
116680,Rolex,MARK,engine_median,16017.35,DERIVED,2026-08-13T12:05:36.604874+00:00
116680,Rolex,MARK,engine_median,15922.8,DERIVED,2026-08-16T10:01:25.617322+00:00
116681,Rolex,MARK,manual_check,20108.0,VERIFIED,2026-08-09
116688,Rolex,MARK,manual_check,37912.0,VERIFIED,2026-08-09
116689,Rolex,MARK,manual_check,28783.0,VERIFIED,2026-08-09
116689,Rolex,MARK,engine_median,26188.95,DERIVED,2026-08-13T12:05:36.604874+00:00
116689,Rolex,MARK,engine_median,34436.77,DERIVED,2026-08-21T21:45:15.687735+00:00
116695SATS,,MARK,engine_median,92362.81,DERIVED,2026-08-13T12:05:36.604874+00:00
116710,Rolex,MARK,manual_check,12077.0,VERIFIED,2026-08-09
116710BLNR,Rolex,MARK,engine_median,13328.3,DERIVED,2026-08-13T12:05:36.604874+00:00
116710LN,Rolex,MARK,engine_median,11574.58,DERIVED,2026-08-13T12:05:36.604874+00:00
116711CHNR,Rolex,MARK,engine_median,17244.95,DERIVED,2026-08-13T12:05:36.604874+00:00
116713LN,Rolex,MARK,manual_check,13163.0,VERIFIED,2026-08-09
116713LN,Rolex,MARK,engine_median,12626.81,DERIVED,2026-08-13T12:05:36.604874+00:00
116713LN,Rolex,MARK,engine_median,12229.18,DERIVED,2026-08-18T21:46:17.264769+00:00
116718,Rolex,MARK,manual_check,37515.0,VERIFIED,2026-08-09
116718LN,Rolex,MARK,engine_median,36126.72,DERIVED,2026-08-13T12:05:36.604874+00:00
116718LNGRE,Rolex,MARK,engine_median,40813.94,DERIVED,2026-08-13T12:05:36.604874+00:00
116719,Rolex,MARK,manual_check,31856.0,VERIFIED,2026-08-09
116719BLRO,Rolex,MARK,engine_median,37093.93,DERIVED,2026-08-13T12:05:36.604874+00:00
116758SARU,Rolex,MARK,engine_median,103523.42,DERIVED,2026-08-13T12:05:36.604874+00:00
116900,Rolex,MARK,manual_check,6982.0,VERIFIED,2026-08-09
116900,Rolex,MARK,engine_median,6430.33,DERIVED,2026-08-13T12:05:36.604874+00:00
117.025,A. Lange & Söhne,MARK,manual_check,33980.0,VERIFIED,2026-08-09
118205,Rolex,MARK,engine_median,31567.04,DERIVED,2026-08-13T12:05:36.604874+00:00
118205,Rolex,MARK,engine_median,21901.5,DERIVED,2026-08-14T21:47:56.498486+00:00
118205,Rolex,MARK,engine_median,31567.04,DERIVED,2026-08-16T10:01:25.617322+00:00
118205,Rolex,MARK,engine_median,21901.5,DERIVED,2026-08-18T21:46:17.264769+00:00
118205,Rolex,MARK,engine_median,31567.04,DERIVED,2026-08-19T21:47:49.086150+00:00
118205,Rolex,MARK,engine_median,21901.5,DERIVED,2026-08-20T04:37:33.725646+00:00
118205,Rolex,MARK,engine_median,31567.04,DERIVED,2026-08-21T21:45:15.687735+00:00
118208,Rolex,MARK,manual_check,22596.0,VERIFIED,2026-08-09
118235,Rolex,MARK,engine_median,29295.0,DERIVED,2026-08-13T12:05:36.604874+00:00
118235,Rolex,MARK,engine_median,42429.58,DERIVED,2026-08-16T10:01:25.617322+00:00
118235,Rolex,MARK,engine_median,29295.0,DERIVED,2026-08-16T21:41:16.998484+00:00
118235FA,Rolex,MARK,engine_median,37093.93,DERIVED,2026-08-13T12:05:36.604874+00:00
118238ACH,Rolex,MARK,engine_median,26199.58,DERIVED,2026-08-13T12:05:36.604874+00:00
118238DIA,Rolex,MARK,engine_median,41876.81,DERIVED,2026-08-13T12:05:36.604874+00:00
118238NGR,,MARK,engine_median,30397.89,DERIVED,2026-08-13T12:05:36.604874+00:00
118239,Rolex,MARK,engine_median,23382.99,DERIVED,2026-08-13T12:05:36.604874+00:00
118239A,,MARK,engine_median,26773.53,DERIVED,2026-08-13T12:05:36.604874+00:00
118239ASVO,Rolex,MARK,engine_median,24339.57,DERIVED,2026-08-13T12:05:36.604874+00:00
118389,Rolex,MARK,engine_median,31567.04,DERIVED,2026-08-13T12:05:36.604874+00:00
118399BR,Rolex,MARK,engine_median,44533.97,DERIVED,2026-08-13T12:05:36.604874+00:00
119901,,MARK,engine_median,6897.99,DERIVED,2026-08-13T12:05:36.604874+00:00
12.30.36.20.01.001,Omega,MARK,manual_check,2947.0,VERIFIED,2026-08-09
12.30.36.20.01.002,Omega,MARK,manual_check,3050.0,VERIFIED,2026-08-09
12.30.41.20.01.002,Omega,MARK,manual_check,3148.0,VERIFIED,2026-08-09
12.30.41.20.01.003,Omega,MARK,manual_check,3364.0,VERIFIED,2026-08-09
12.30.41.20.01.005,Omega,MARK,manual_check,4787.0,VERIFIED,2026-08-09
12.30.41.20.03.001,Omega,MARK,manual_check,3315.0,VERIFIED,2026-08-09
12.30.41.61.01.001,Omega,MARK,manual_check,2573.0,VERIFIED,2026-08-09
12.30.44.50.01.001,Omega,MARK,manual_check,4019.0,VERIFIED,2026-08-09
12.32.41.20.04.001,Omega,MARK,manual_check,5492.0,VERIFIED,2026-08-09
12000201,,MARK,engine_median,12159.15,DERIVED,2026-08-13T12:05:36.604874+00:00
