ref,mark_usd,mark_source,confidence,n_sources,spread_pct,as_of,msrp_usd
116400GV,10575.0,manual_check,VERIFIED,2,1.5,2026-08-09,
116500,27561.0,manual_check,VERIFIED,2,6.5,2026-08-09,
116500LN,25349.7,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116500LNWH,28059.59,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116503,20119.0,manual_check,VERIFIED,2,4.4,2026-08-09,
116503NG,22213.84,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116503NGBS,24351.81,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116505,44599.0,manual_check,VERIFIED,2,3.1,2026-08-09,
116505GBK,47137.98,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116506,130360.17,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116506A,92281.6,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116508,61334.0,manual_check,VERIFIED,2,7.0,2026-08-09,
116509,41739.0,manual_check,VERIFIED,2,10.6,2026-08-09,
116509G,37120.49,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116509NGBK,41441.04,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116515,37177.0,manual_check,VERIFIED,2,12.6,2026-08-09,
116515LN,35116.8,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116515LNA,38688.22,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116515LNBK,38900.79,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116515LNG,40452.57,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116515LNPB,38156.79,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116518,41049.0,manual_check,VERIFIED,1,0.0,2026-08-09,
116518LN,40881.68,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116518LNCH,42248.81,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116518LNG,39751.08,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116518LNNG,40218.74,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116519,38115.0,manual_check,VERIFIED,2,65.6,2026-08-09,
116519LN,33081.16,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116520,20635.49,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116523,16835.75,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116523G,16804.07,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116523GWH,17430.95,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116528,39166.51,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116528CH,39676.26,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116528G,38676.75,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116528GBK,37093.93,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116528GR,39219.65,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116576TBR,175372.43,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116588TBR,166338.09,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116589BR,85560.49,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116595RBOW,424082.43,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
